Date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Price,Energy,Sentiment
2014-01-03,6.6,2.7,9.3,0.0,0.0,188.0,11.9,44.6,1008.9,228.0,4.39,365603.0,0.0
2014-01-06,4.9,0.7,8.3,9.6,0.0,182.0,12.6,39.2,1011.2,36.0,4.5,365603.0,0.0
2014-01-07,9.1,7.4,11.6,1.6,0.0,202.0,14.4,36.0,1013.5,330.0,4.58,365603.0,0.0
2014-01-08,8.5,5.2,10.8,1.5,0.0,219.0,14.4,53.6,1015.8,72.0,4.36,365603.0,0.0
2014-01-09,8.2,4.2,12.2,1.0,0.0,198.0,16.2,59.8,1007.0,0.0,4.15,365603.0,0.0
2014-01-10,6.8,5.3,7.7,0.2,0.0,260.0,24.5,57.6,1010.2,12.0,3.95,365603.0,0.0
2014-01-13,2.1,-0.6,3.7,0.0,0.0,163.0,9.4,32.0,1014.0,24.0,4.19,365603.0,0.0
2014-01-14,4.0,2.5,5.6,0.0,0.0,102.0,7.6,22.3,1009.4,60.0,4.36,365603.0,0.0
2014-01-15,3.4,2.6,4.1,0.1,0.0,84.0,8.6,22.3,1010.9,0.0,4.45,365603.0,0.0
2014-01-16,2.4,1.4,3.6,6.3,0.0,120.0,14.8,31.0,1006.9,0.0,4.55,365603.0,0.0
2014-01-17,5.5,3.5,7.7,0.0,0.0,167.0,7.2,22.3,1004.1,6.0,4.39,365603.0,0.0
2014-01-21,-3.1,-4.6,-2.1,2.6,0.0,67.0,11.5,21.6,1012.7,0.0,4.61,365603.0,0.0
2014-01-22,-5.3,-5.7,-4.4,0.0,40.0,78.0,14.8,27.4,1018.2,0.0,4.92,365603.0,0.0
2014-01-23,-5.3,-6.5,-4.4,0.0,40.0,90.0,16.6,34.9,1020.4,42.0,5.64,365603.0,0.0
2014-01-24,-7.4,-12.8,-5.3,0.2,30.0,77.0,20.5,38.9,1020.3,0.0,5.17,365603.0,0.0
2014-01-27,-4.4,-9.0,-2.3,2.5,30.0,113.0,13.0,33.5,999.9,0.0,5.66,365603.0,0.0
2014-01-28,-3.2,-5.6,-0.9,0.0,70.0,102.0,14.4,35.3,1006.4,0.0,5.25,365603.0,0.0
2014-01-29,-6.2,-6.9,-5.1,0.1,70.0,94.0,20.2,40.3,1010.3,0.0,5.23,365603.0,0.0
2014-01-30,-4.9,-6.2,-3.5,0.0,80.0,103.0,20.2,42.1,1014.7,0.0,5.27,365603.0,0.0
2014-01-31,-1.8,-5.7,1.8,0.0,80.0,111.0,11.5,32.4,1011.4,96.0,5.04,365603.0,0.0
2014-02-03,1.8,-0.1,4.6,0.0,0.0,118.0,11.9,32.4,1017.5,66.0,5.04,287135.0,0.0
2014-02-04,1.9,-0.8,6.4,0.0,0.0,161.0,11.2,31.0,1012.5,396.0,5.78,287135.0,0.0
2014-02-05,1.1,-2.3,5.1,0.0,0.0,146.0,11.9,30.2,1004.9,414.0,8.12,287135.0,0.0
2014-02-06,4.9,1.7,10.2,0.1,0.0,197.0,12.2,32.4,1005.5,216.0,6.9,287135.0,0.0
